기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20250607,출발시간,135,ST-1834,천호3동_021_1,ST-2749,길동_012_1,1,3.0,456.0
20250607,출발시간,755,ST-2606,가락1동_048_7,ST-2576,문정2동_025_1,1,6.0,706.0
20250607,출발시간,1200,ST-1335,면목2동_026_1,ST-595,면목5동_001_1,1,59.0,6262.0
20250607,출발시간,2000,ST-2796,송파2동_002_1,ST-1866,석촌동_018_1,1,78.0,9714.0
20250607,출발시간,1050,ST-551,잠실3동_029_1,ST-1867,잠실3동_061_1,1,115.0,4340.0
20250607,도착시간,1300,ST-3123,중계4동_011_1,ST-3123,중계4동_011_1,1,36.0,636.0
20250607,출발시간,420,ST-1352,발산1동_065_1,ST-2047,가양1동_016_6,1,6.0,1198.0
20250607,도착시간,40,ST-2096,창5동_016_1,ST-3368,창5동_002_4,1,2.0,318.0
20250607,출발시간,0,ST-2000,목3동_027_2,ST-1013,목3동_027_1,1,,
20250607,출발시간,1805,ST-1064,발산1동_056_1,ST-2056,발산1동_035_2,1,11.0,1130.0
20250607,도착시간,1720,ST-1684,풍납1동_002_1,ST-496,성내2동_018_1,1,24.0,2627.0
20250607,도착시간,405,ST-485,천호2동_037_1,ST-3209,천호2동_005_1,1,3.0,495.0
20250607,도착시간,2225,ST-2036,가양1동_017_2,ST-1689,가양1동_017_1,1,,
20250607,출발시간,1605,ST-19,서강동_028_1,ST-2153,신수동_027_1,1,47.0,2820.0
20250607,도착시간,1845,ST-699,노량진2동_020_1,ST-2353,대방동_033_1,1,25.0,1733.0
20250607,출발시간,1645,ST-2727,창3동_011_1,ST-2137,번1동_025_1,1,23.0,1988.0
20250607,도착시간,1255,ST-2820,문래동_025_1,ST-3330,문래동_021_1,1,5.0,518.0
20250607,출발시간,450,ST-1000,신정7동_001_1,ST-2007,신정2동_028_1,1,8.0,1112.0
20250607,도착시간,1830,ST-830,둔촌1동_001_4,ST-1409,잠실4동_027_1,1,31.0,4336.0
20250607,출발시간,755,ST-446,성수2가1동_023_1,ST-506,성수2가3동_002_3,1,5.0,824.0
20250607,출발시간,1010,ST-950,조원동_024_1,ST-1542,신대방1동_015_1,1,81.0,1564.0
20250607,출발시간,1655,ST-740,오금동_006_1,X,,1,20.0,2298.0
20250607,도착시간,2145,ST-1050,,ST-1421,암사3동_006_2,2,14.0,1651.0
20250607,출발시간,1450,ST-1018,목5동_051_1,ST-1995,목1동_006_2,1,4.0,715.0
20250607,도착시간,1550,ST-3172,방학1동_004_1,ST-3119,방학1동_050_1,1,10.0,1360.0
20250607,도착시간,1650,ST-1681,잠실6동_001_3,ST-1839,성내3동_018_2,2,60.0,6683.0
20250607,출발시간,1540,ST-1712,가양1동_012_3,ST-1065,가양1동_016_2,1,10.0,824.0
20250607,출발시간,830,ST-1645,공항동_030_1,ST-2036,가양1동_017_2,1,11.0,1515.0
20250607,도착시간,130,ST-2693,명동_001_22,ST-1791,회현동_003_3,1,9.0,1042.0
20250607,도착시간,1755,ST-1012,신월3동_001_1,ST-3118,가양3동_001_1,2,136.0,12020.0
20250607,도착시간,1415,ST-1776,회현동_004_1,ST-1773,소공동_001_6,1,13.0,1090.0
20250607,도착시간,1350,ST-3300,오륜동_001_5,ST-1716,거여1동_012_1,1,18.0,3365.0
20250607,출발시간,1940,ST-2565,"종로1,2,3,4가동_009_2",ST-1804,삼청동_004_2,1,3.0,750.0
20250607,도착시간,1700,ST-1078,오금동_007_1,ST-544,오륜동_018_1,1,7.0,1070.0
20250607,출발시간,850,ST-2812,양평1동_020_1,ST-287,당산2동_017_1,1,12.0,1702.0
20250607,도착시간,1630,ST-2613,우장산동_010_1,ST-1249,등촌3동_064_1,1,7.0,1481.0
20250607,도착시간,925,ST-1519,화곡6동_014_1,ST-834,등촌3동_002_1,1,2.0,370.0
20250607,출발시간,1120,ST-2363,사당1동_032_1,ST-924,사당1동_026_2,1,7.0,1470.0
20250607,도착시간,1730,ST-1564,개포4동_034_1,ST-1564,개포4동_034_1,1,,
20250607,출발시간,1555,ST-3278,상계8동_042_1,ST-3266,상계10동_023_1,1,8.0,1035.0
20250607,도착시간,1350,ST-1959,오류2동_017_1,ST-1959,오류2동_017_1,1,,
20250607,도착시간,2220,ST-2595,잠실4동_003_2,ST-502,성내1동_014_1,1,24.0,3664.0
20250607,도착시간,1555,ST-1351,등촌3동_001_1,ST-2945,발산1동_007_5,1,10.0,1098.0
20250607,출발시간,1730,ST-1226,고척1동_023_1,ST-1961,고척1동_009_1,1,,
20250607,도착시간,1910,ST-695,사당2동_007_2,ST-3239,여의동_006_8,3,295.0,20984.0
20250607,도착시간,1155,ST-1771,소공동_001_4,ST-1761,소공동_001_2,1,115.0,3037.0
20250607,출발시간,1530,ST-2280,이문1동_032_1,ST-274,용신동_014_1,1,20.0,2720.0
20250607,출발시간,1330,ST-2602,잠실7동_003_1,ST-1864,잠실본동_004_1,1,61.0,1712.0
20250607,도착시간,750,ST-862,수유3동_004_1,ST-2137,번1동_025_1,1,5.0,755.0
20250607,도착시간,2200,ST-1018,목5동_051_1,ST-2764,신정6동_018_1,1,10.0,1619.0
20250607,도착시간,830,ST-5,망원1동_024_1,ST-6,서교동_011_1,1,8.0,599.0
20250607,출발시간,1555,ST-1320,양평1동_028_1,ST-3212,당산1동_009_1,1,4.0,826.0
20250607,출발시간,2200,ST-2809,신길3동_033_2,ST-2902,영등포본동_014_1,1,8.0,1510.0
20250607,출발시간,1710,ST-3139,연희동_042_1,ST-2213,홍은2동_026_1,1,,
20250607,출발시간,830,ST-432,신월7동_032_1,ST-2771,신월6동_002_1,1,7.0,600.0
20250607,도착시간,1620,ST-1579,위례동_040_1,ST-2576,문정2동_025_1,1,25.0,2772.0
20250607,출발시간,1125,ST-109,성수1가2동_001_1,ST-1136,방학1동_019_1,1,91.0,23376.0
20250607,도착시간,1335,ST-3239,여의동_006_8,ST-66,여의동_006_16,3,18.0,2735.0
20250607,출발시간,1050,ST-2892,구로5동_050_1,ST-668,구로3동_034_1,1,8.0,2016.0
20250607,도착시간,900,ST-1254,방화1동_043_1,ST-1065,가양1동_016_2,1,16.0,3307.0
20250607,출발시간,1040,ST-857,중화1동_001_1,ST-1099,상봉2동_019_1,1,14.0,1724.0
20250607,출발시간,1605,ST-1499,신정7동_004_1,ST-2014,신정7동_001_2,1,6.0,800.0
20250607,도착시간,2200,ST-547,잠실2동_058_1,ST-1797,잠실2동_038_1,1,3.0,445.0
20250607,출발시간,1435,ST-156,혜화동_002_1,ST-948,미아동_013_1,1,52.0,6139.0
20250607,출발시간,2155,ST-2870,역삼1동_037_1,ST-813,역삼1동_038_1,1,12.0,1313.0
20250607,도착시간,1455,ST-313,신월2동_009_1,ST-1996,목1동_045_1,1,16.0,1746.0
20250607,출발시간,2235,ST-20,서교동_032_1,ST-7,서교동_037_1,1,8.0,1116.0
20250607,도착시간,1025,ST-1186,수서동_023_1,ST-3376,세곡동_053_2,1,7.0,1051.0
20250607,도착시간,1645,ST-624,가산동_003_5,ST-1753,구로3동_037_2,1,12.0,1540.0
20250607,도착시간,1925,ST-486,천호2동_041_1,ST-485,천호2동_037_1,1,4.0,401.0
